"","Name_of_product","price","delivery_cost","reviews","quantity_sold","dispatch_from","seller_name","url"
"52","Watercolor Back to School Clip Art Set","6.01",NA,"343","2753",NA,"Tatiana Bordiuzhan","https://www.etsy.com/sg-en/listing/533604784/watercolor-back-to-school-clip-art-set?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-2-4"
"53","Custom Wedding Bouquet Painting ORIGINAL Watercolor Bouquet Custom Briddal Bouquet Anniversary Gift Painting from photo Gift For Her","87.13","Free","59","370","Bulgaria","Owner of RoseNLavender","https://www.etsy.com/sg-en/listing/521772673/custom-wedding-bouquet-painting-original?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-2-5&frs=1"
"54","PRINTABLE Watercolor Christ Portrait// Christ Portrait// Christ Painting// Jesus Christ Painting// Christ Print","8.87",NA,"118","936",NA,"Courtney Drennan","https://www.etsy.com/sg-en/listing/264605156/printable-watercolor-christ-portrait?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-2-6"
"55","The Libra Constellation above the ocean waves print, Instant Download, Libra Art, Galaxy Painting, Zodiac Art, Libra Print Digital Download","9.78",NA,"290","1812",NA,"Cindy Lane","https://www.etsy.com/sg-en/listing/482592928/the-libra-constellation-above-the-ocean?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-2-7"
"56","Orca Painting, Watercolor Painting, Whale Painting, Orca and Girl, Killer Whale, Whale Nursery, Whale Print, Boy and Girl Versions Available","16.86","22.13","5507","25227","United States","Rachel Byler","https://www.etsy.com/sg-en/listing/398685619/orca-painting-watercolor-painting-whale?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-2-8&etp=1"
"57","The little Prince Fox Quote Inspirational Quote Le Petit Prince Fox The little Prince Art Prince Room Décor Baby Room Baby Shower Gift","65.31","Free","155","713","Greece","Mali","https://www.etsy.com/sg-en/listing/479272031/the-little-prince-fox-quote?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-2-9&frs=1"
"58","Thyme, Set of 2 Watercolor Painting, Botanical Artwork, Green Leaves, Floral Illustration, Herbs Art Print","65.31","Free","5298","5","Poland","Joanna Szmerdt","https://www.etsy.com/sg-en/listing/236346908/thyme-set-of-2-watercolor-painting?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-2-10&frs=1"
"59","Giraffe watercolor print, giraffe painting, animal art, giraffe art print, giraffe decor, giraffe gifts, giraffe lover, giraffe decor","35.13","42.16","1280","6337","United States","Eric Sweet","https://www.etsy.com/sg-en/listing/211282587/giraffe-watercolor-print-giraffe?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-2-11"
"60","Blue Sea turtle watercolor painting print by Slaveika Aladjova, art, animal, illustration, Sea art, sea life art, home decor, Wall art","40.75","11.24","2995","18934","Bulgaria","Slaveika Aladjova","https://www.etsy.com/sg-en/listing/232105659/blue-sea-turtle-watercolor-painting?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-2-12"
"61","Willie Nelson portrait, archival print of original watercolor painting, Country Music,  original ART, portrait painting, Texas, Nashville","67.45","20.36","391","2032","United States","naomi","https://www.etsy.com/sg-en/listing/87418733/willie-nelson-portrait-archival-print-of?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-2-13"
